Time,Protocol
3,TCP
3,TCP
3,TCP
5,UDP
5,UDP
9,TCP
9,TCP
9,TCP
15,TCP
15,TCP
15,TCP
24,TCP
24,TCP
24,TCP
24,TCP
24,TCP
24,TCP
24,TCP
28,UDP
28,UDP
28,UDP
28,UDP
28,UDP
28,UDP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
28,TCP
29,OTHER
29,OTHER
33,TCP
33,TCP
33,TCP
34,TCP
34,TCP
34,TCP
35,TCP
35,TCP
38,TCP
38,TCP
38,TCP
38,TCP
38,TCP
42,TCP
42,TCP
42,TCP
45,UDP
45,UDP
46,UDP
46,TCP
46,UDP
46,TCP
46,TCP
46,TCP
46,TCP
46,TCP
46,TCP
46,TCP
46,TCP
46,TCP
46,TCP
46,TCP
59,TCP
59,TCP
59,TCP
64,TCP
64,TCP
64,TCP
70,TCP
70,TCP
70,TCP
70,TCP
70,TCP
75,OTHER
75,OTHER
80,TCP
80,TCP
81,UDP
81,TCP
81,UDP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,TCP
81,OTHER
85,TCP
85,TCP
85,TCP
87,TCP
87,TCP
87,TCP
87,TCP
94,TCP
94,TCP
94,TCP
95,UDP
95,UDP
95,TCP
95,TCP
95,TCP
95,TCP
95,TCP
95,TCP
95,TCP
95,TCP
95,TCP
99,TCP
99,TCP
99,TCP
105,TCP
105,TCP
105,TCP
105,TCP
108,UDP
108,UDP
108,UDP
108,UDP
108,UDP
108,UDP
108,UDP
108,UDP
108,UDP
108,UDP
108,UDP
108,UDP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
108,TCP
109,UDP
109,UDP
110,TCP
110,TCP
110,TCP
113,OTHER
113,OTHER
117,TCP
124,TCP
124,TCP
124,TCP
136,TCP
136,TCP
136,TCP
140,TCP
140,TCP
140,TCP
140,TCP
142,UDP
142,UDP
142,UDP
142,TCP
142,UDP
142,UDP
142,TCP
142,TCP
142,TCP
142,UDP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
142,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
143,TCP
144,TCP
144,TCP
144,TCP
144,TCP
144,TCP
144,TCP
144,TCP
144,TCP
144,TCP
144,TCP
146,TCP
146,TCP
146,TCP
154,TCP
154,TCP
154,TCP
161,TCP
161,TCP
161,TCP
163,TCP
163,TCP
163,TCP
166,TCP
166,TCP
166,TCP
166,TCP
166,TCP
166,TCP
166,TCP
166,TCP
167,TCP
167,TCP
167,TCP
167,TCP
167,TCP
167,TCP
167,TCP
167,TCP
167,TCP
167,TCP
167,TCP
167,TCP
184,TCP
184,TCP
184,TCP
